date,place,address,long,lat,evak1,evak2,link
2017-11-29,ГБОУ Лицей № 1571,"ул. Фомичевой, д. 1, корп. 1",55.857467,37.4445883,да,530,http://www.mskagency.ru/materials/2728658
2017-11-29,Храм Христа Спасителя,"Волхонка ул., 15",55.7443806,37.6033397,нет,,http://tass.ru/proisshestviya/4770151
2017-11-28,Гостинничный комплекс Измайлово," Измайловское шоссе, д. 71",55.7904538,37.7448324,да,нет информации,http://www.mskagency.ru/materials/2728129
2017-11-27,ТЦ Охотный ряд,"Манежная площадь, д.1, стр.2",55.7554867,37.6122023,да,1000,"http://www.mk.ru/incident/2017/11/27/v-moskve-evakuirovali-tc-okhotnyy-ryad.html
http://www.mskagency.ru/materials/2728041"
2017-11-27,ЦДМ на Лубянке,"Театральный проезд, дом 5, строение 1",55.7601597,37.6224232,да,700,https://news.rambler.ru/incidents/38524110-v-moskve-evakuirovali-tsentralnyy-detskiy-magazin/
2017-11-27,Сретенский Храм на Лубянке,"Большая Лубянка ул., д. 19, к.1",55.765675,37.6302009,нет,,http://tass.ru/proisshestviya/4761514
2017-11-23,Министерство труда и соц. защиты,"ул. Ильинка, д. 21",55.756694,37.6261513,да,200,http://www.mskagency.ru/materials/2726984
2017-11-22,Жилой дом,"Варшавское шоссе, 126",55.626072,37.614672,да,нет информации,http://www.mskagency.ru/materials/2726678
2017-11-21,ТЦ Золотой Вавилон,"проспект Мира, д. 211, корп. 2",55.8449021,37.6576416,да,5000,http://www.mskagency.ru/materials/2726192
2017-11-20,Киевский вокзал,"пл. Киевского Вокзала, 1",55.743084,37.56611,да,400,http://www.mskagency.ru/materials/2725654
2017-11-20,Телецентр Останкино,"Академика Королева ул., 12",55.8219662,37.6058766,нет,,http://www.tvc.ru/news/show/id/127795
2017-11-17,ТЦ Времена года,"Кутузовский проспект, д.48",55.731695,37.4852773,да,нет информации,http://www.mskagency.ru/materials/2724959
2017-11-17,ТРК Райкин плаза,"ул. Шереметьевская, д. 6, корп. 1.",55.7957728,37.6146518,да,2000,http://www.mskagency.ru/materials/2725264
2017-11-16,приемные Госдумы и Совета Федерации /бизнес центр (одно здание),"Моховая ул. , дом 7",55.7527742,37.6086658,да,200,http://www.mskagency.ru/materials/2724675
2017-11-15,ГБОУ СОШ 1399,"Вилиса Лациса ул., д. 33/2.",55.858774,37.409506,да,100,http://www.mskagency.ru/materials/2724369
2017-11-13,Банк Советский,"Головскинское шоссе, д.1",55.8397219,37.4882918,нет информации,нет информации,http://www.mskagency.ru/materials/2723367
2017-12-11,17-этажный жилой дом,"Симферопольский бульвар, д. 29, к.1",55.6479034,37.6062963,да,60,http://www.mskagency.ru/materials/2723199
2017-12-11,Курский вокзал,Площадь Курского Вокзала,55.7574119,37.6589137,да,50 или 200?,"http://www.interfax.ru/moscow/587031
https://360tv.ru/news/chp/ugroza-vzryva-kurskogo-vokzala-v-moskve-okazalas-lozhnoj/"
2017-10-11,Ночной клуб Tesla Place,"шоссе Энтузиастов, д. 5, корп. 2",55.794802,37.9306819,да,нет информации,http://www.mskagency.ru/materials/2723015
2017-08-11,Казанский вокзал,"Комсомольская пл., 2",55.7736063,37.6545702,нет,,https://ria.ru/incidents/20171108/1508387982.html
2017-07-11,СК олимпийский,"Олимпийский проспект, 16, с.1",55.7811075,37.6243632,да,2000,http://www.mk.ru/moscow/2017/11/07/iz-sk-olimpiyskiy-evakuirovany-2-tysyachi-chelovek.html
2017-07-11,Жилой дом,"Палехская ул., д.5",55.86379,37.6908483,да,нет информации,"https://govoritmoskva.ru/news/140704/
http://www.mskagency.ru/materials/2721468"
2017-05-11,Гостинница Метрополь,"Театральный проезд, д. 2",55.7584137,37.6196614,да," 2000/ но есть инфа, что якобы и не было эвакуации","https://ria.ru/incidents/20171105/1508243359.html
https://www.rbc.ru/society/05/11/2017/59ff2f2c9a79475c3448ccda"
2017-05-11,ТД ГУМ,"Красная площадь, с.3",55.7546025,37.6215995,да,2800,https://ria.ru/incidents/20171105/1508243359.html
2017-05-11,Кинотеатр Высота,"ул. Юных Ленинцев, д. 52",55.6998313,37.7633373,да,нет информации,http://www.mskagency.ru/materials/2721286
2017-05-11,Кинотеатр Факел,"Шоссе Энтузиастов, 15/16",55.751846,37.7139333,да,1000,"https://www.rbc.ru/society/05/11/2017/59ff2f2c9a79475c3448ccda
https://ria.ru/incidents/20171105/1508243653.html"
2017-05-11,ТЦ Дубровка,"Шарикоподшипниковская ул., 13, стр. 3,",55.7182783,37.6753387,да,1000,https://ria.ru/incidents/20171105/1508243653.html
2017-05-11,ТЦ Таганский пассаж,"Таганская ул., 3,",55.7412802,37.6562671,да,2500,https://ria.ru/incidents/20171105/1508243653.html
2017-05-11,ТЦ Аркадия,"Большой Овчинниковский пер., 16,",55.74447,37.6279502,да,,https://ria.ru/incidents/20171105/1508243653.html
2017-05-11,ТЦ Гудзон,"Каширское ш., 14,",55.6647275,37.6243747,да,,https://ria.ru/incidents/20171105/1508243653.html
2017-05-11,Большой театр,"Театральная площадь, дом 1",55.7601365,37.6164599,да,3500,https://www.rbc.ru/society/05/11/2017/59ff2f2c9a79475c3448ccda
2017-05-11,ТЦ Европейский,"Киевская пл., 2",55.7443384,37.5636117,да,11000,https://ria.ru/incidents/20171105/1508237101.html
2017-06-11,"ТРЦ ""Дисконт""","Орджоникидзе ул., 11",55.7091458,37.5935265,да,,https://ria.ru/incidents/20171105/1508237101.html
2017-05-11,Музей архитектуры имени А. В. Щусева,"Воздвиженка ул., 5/25",55.752501,37.6047462,да,нет информации,https://www.rbc.ru/society/05/11/2017/59ff2f2c9a79475c3448ccda
2017-05-11,ТЦ Outlet Village Белая Дача.,"Новорязанское шоссе, дом 8",55.660768,37.8756803,да,нет информации,http://www.mskagency.ru/materials/2721278
2017-05-11,Кинотеатр Космос,"Проспект Мира, 109",55.818717,37.6345923,да,500,https://www.currenttime.tv/a/28836338.html
2017-05-11,ТЦ Атриум,"Земляной вал, 33",55.7572631,37.6568853,да,нет информации,"https://ria.ru/incidents/20171105/1508243359.html
http://www.mskagency.ru/materials/2721276"
2017-05-11,ТЦ Охотный ряд,"Манежная площадь, д.1, стр.2",55.7554867,37.6122023,да,нет информации,https://iz.ru/667322/2017-11-05/shest-torgovykh-tcentrov-v-moskve-evakuirovali-iz-za-ugrozy-terakta
2017-05-11,Галерея Атлантис (ТЦ),"Варшавское шоссе, 160",55.582921,37.5933865,да,нет информации,https://ria.ru/incidents/20171026/1507600593.html
2017-10-28,ТЦ Водный,"Головинское шоссе, д. 5.",55.8402046,,да,нет информации,http://www.mskagency.ru/materials/2719124
2017-10-26,"Кинотеатр ""Солярис""","Перерва ул., 43 , к.1",55.6604668,37.7496441,да,нет информации,https://ria.ru/incidents/20171026/1507600593.html
2017-10-26,Кинотеатр Алмаз,"Шаболовская ул., 56",55.7845993,37.3110632,да,нет информации,https://ria.ru/incidents/20171026/1507600593.html
2017-10-26,Кинотеатр Соловей,"Дружинниковская ул., 15",55.759728,37.5726743,да,100,"https://ria.ru/incidents/20171026/1507600593.html
http://www.mskagency.ru/materials/2718359"
2017-10-26,Российский экономический университет имени Плеханова,"Стремянный пер., 14",55.7280406,37.6278722,да,300,"https://iz.ru/663421/2017-10-26/smi-300-chelovek-evakuirovali-iz-reu-im-plekhanova-iz-za-ugrozy-vzryva
http://www.mskagency.ru/materials/2718305"
2017-10-25,Кинотеатр Высота,"ул. Юных Ленинцев, д. 52",55.6998313,37.7633373,да,нет информации,http://www.mskagency.ru/materials/2718147
2017-10-23,ГЗ МГУ,"Ленинские горы, 1",55.6960822,37.5348973,да,нет информации,http://www.mskagency.ru/materials/2717147
2017-10-22,ТЦ Европейский,"пл. Киевского Вокзала, 2,",55.7443384,37.5636117,да,3000,https://mir24.tv/news/16273803/iz-tc-evropeiskii-v-moskve-evakuirovali-tri-tysyachi-chelovek
2017-09-21,ТЦ Калужский,"Профсоюзная ул., 61А",55.6560231,37.5391299,да,нет информации,https://www.rbc.ru/rbcfreenews/59c3e8eb9a7947bc27b43dc1
2017-09-20,ТЦ Кунцево,"Ярцевская ул., 19 ·",55.7385962,37.4088099,да,нет информации,http://www.interfax.ru/moscow/579907
2017-10-21,ГКБ имени Буянова,"Бакинская ул., 26,",55.618845,37.6520683,да,нет информации,https://rg.ru/2017/10/21/reg-cfo/bolnicu-imeni-buianova-evakuirovali-iz-za-ugrozy-vzryva.html
2017-10-20,ГЗ МГУ,"Ленинские горы, 1",55.6960822,37.5348973,да,2000,http://www.the-village.ru/village/city/news-city/288408-msu
2017-10-20,Посольство Японии,"Грохольский переулок, 27",55.777897,37.6400103,да,нет информации,https://www.rbc.ru/rbcfreenews/59e9c26b9a794775552625c1 https://tsargrad.tv/news/posolstvo-japonii-v-moskve-proverjajut-na-nalichie-bomby_91534
2017-10-18,Российская государственная библиотека,"Воздвиженка ул., 3/5",55.7517731,37.60668,да,100,https://zona.media/chronicle/minirovanie
2017-10-18,Курский вокзал,Площадь Курского Вокзала,55.7574119,37.6589137,да,600,https://zona.media/chronicle/minirovanie
2017-10-18,Павелецкий вокзал,"Павелецкая площадь, 1",55.7297494,37.6371607,да,450,https://zona.media/chronicle/minirovanie
2017-10-18,Ярославский вокзал,"Комсомольская пл., 5",55.776788,37.6551488,да,500,https://zona.media/chronicle/minirovanie
2017-09-10,Мавзолей Ленина,Красная площадь,55.7537147,37.6176958,нет,,https://lenta.ru/news/2017/10/09/vzorvat_lenina/
2017-08-10,ТЦ Гудзон,"Каширское шоссе, 14",55.6647275,37.6243747,да,1000+,https://www.kp.ru/online/news/2892702/
2017-08-10,ТДК Тульский,"Большая Тульска ул., 11",55.710106,37.6216883,да,3000,http://www.interfax.ru/moscow/582349
2017-08-10,ТК Дубровка,"Шарикоподшипниковская ул, 13, с 3",55.7182783,37.6753387,да,,http://www.interfax.ru/moscow/582349
2017-07-10,ТЦ Охотный ряд,"Манежная пл., 1, с.2",55.7554867,37.6122023,да,1500,"https://ria.ru/incidents/20171006/1506372983.html
http://www.interfax.ru/moscow/582254"
2017-06-10,Отель Marriott,Новый Арбат 32,55.753366,37.5784529,да,100,http://tass.ru/proisshestviya/4625190
2017-06-10,ТЦ Калейдоскоп,"ул. Сходненская, д. 56",55.8504584,37.4414319,да,нет информации,http://www.mskagency.ru/materials/2712205
2017-06-10,МАИ,"Волоколамское шоссе, д. 4",55.8107898,37.4959405,да,нет информации,"http://www.mskagency.ru/materials/2712187
https://www.gazeta.ru/social/news/2017/10/06/n_10660256.shtml"
2017-06-10,ТЦ Охотный ряд,"Манежная пл., 1 с 2",55.7554867,37.6122023,да,нет информации,https://ria.ru/incidents/20171006/1506372983.html
2017-06-10,Белорусский вокзал,"пл. Тверская Застава, 7,",55.776916,37.5792763,да,нет информации,https://ria.ru/incidents/20171006/1506356294.html
2017-06-10,Курский вокзал,пл. Курского вокзала,55.7574119,37.6589137,да,нет информации,https://ria.ru/incidents/20171006/1506356294.html
2017-06-10,Казанский вокзал,"Комсомольская пл., 2,",55.7736063,37.6545702,да,нет информации,https://ria.ru/incidents/20171006/1506356294.html
2017-06-10,Ярославский вокзал,"Комсомольская пл., 5,",55.776788,37.6551488,да,нет информации,https://ria.ru/incidents/20171006/1506356294.html
2017-06-10,ТЦ Атриум,"ул. Земляной Вал, 33",55.7572631,37.6568853,да,нет информации,https://ria.ru/incidents/20171006/1506350664.html
2017-09-26,"Кинотеатр  ""Березка""","Мартеновская ул., 25",55.749873,37.8003532,да,нет информации,https://ria.ru/incidents/20170926/1505633105.html
2017-09-26,"Кинотеатр ""Баку""","ул. Усиевича, 12/14.",5.8063205,37.5260943,да,нет информации,https://ria.ru/incidents/20170926/1505633105.html
2017-09-26,"Кинотеатр ""Пионер""","Кутузовский просп., 21,",55.745035,37.5476904,да,нет информации,https://ria.ru/incidents/20170926/1505633105.html
2017-09-26,"Кинотеатр , ""Факел""","ш. Энтузиастов, 15/16",55.751846,37.7139333,да,нет информации,https://ria.ru/incidents/20170926/1505633105.html
2017-09-26,"Кинотеатр  ""Высота"",","ул. Юных Ленинцев, 52",55.6998313,37.7633373,да,нет информации,https://ria.ru/incidents/20170926/1505633105.html
2017-09-26,"Кинотеатр ""Солнцево""","ул. Богданова, 19",55.6527851,37.3910907,да,нет информации,https://ria.ru/incidents/20170926/1505633105.html
2017-09-26,"Киноклуб  ""Эльдар""","Ленинский пр., 105,",55.6652953,37.5111367,да,нет информации,https://ria.ru/incidents/20170926/1505633105.html
2017-09-26,Мега белая дача,"5, 1-й Покровский пр-д,",55.6541933,37.8420853,да,нет информации,https://ria.ru/incidents/20171006/1506341245.html
2017-09-26,Управа р-на Донской,"Варшавское ш., 10,",55.6975786,37.617542,да,нет информации,https://ria.ru/incidents/20170926/1505568907.html
2017-09-26,"Управа р-на , ""Косино""","Большая Косинская, 20",55.713139,37.8535542,да,нет информации,https://ria.ru/incidents/20170926/1505568907.html
2017-09-26,"Управа р-на ""Новопеределкино""","Боровское ш., 33",55.6460525,37.3267259,да,нет информации,https://ria.ru/incidents/20170926/1505568907.html
2017-09-26,"Управа р-на  Ломоносовский""","ул.Кравченко, 8",55.6767181,37.5169019,да,нет информации,https://ria.ru/incidents/20170926/1505568907.html
2017-09-26,"Управа р-на ""Нижегородская""","Нижегородская ул., 58к1,",55.734092,37.7031364,да,нет информации,https://ria.ru/incidents/20170926/1505568907.html
2017-09-26,"Управа р-на ""Марфино""","Большая Марфинская ул., 4",55.8314063,37.5906306,да,нет информации,https://ria.ru/incidents/20170926/1505568907.html
2017-09-26,"Управа р-на  ""Чертаново Центральное""","Днепропетровская ул., 16к8",55.6159164,37.5805475,да,нет информации,https://ria.ru/incidents/20170926/1505568907.html
2017-09-26,Консульство Испании,"Стременной переулок, дом 31",55.7269742,37.6268328,да,30,https://ria.ru/incidents/20170926/1505589300.html
